"","text","score","polarity"
"1","@jokowi Sukses Buat pemerintahan Bapak Presiden.pembangunan infrastruktur  mulai kelihatan dan semakin banyak dimana mana..kami juga berharap nanti nya perbaikan atau pembangunan kembali jalan di setiap desa/dusun di seluruh indonesia bisa dilakukan. Apalagi di Dsn kami jln sudah hancur.",0,"Netral"
"2","@rokigareng @GME_Lee77 @aan_muba @jokowi Sudah tugas paspampres, orang nomor 1 di indonesia, kepala negara dan pemerintahan. Sudah ada prosedurnya, untuk penjagaan.",0,"Netral"
"3","@sh4d0wbL4ckz Sejatinya musuh  NKRI bkn yg ngeritik/oposisi,tp PKI gaya baru.

https://t.co/xKyu3PZOO9",0,"Netral"
"4","Ketakutan juga PKS setelah Relawan Jokowi di Jakarta unjuk kekuatan. Belum lagi terhitung relawan dari daerah lain. 
Pemerintahan yang efektif membawa kejayaan harus berlanjut di tangan yang tepat. https://t.co/d3fAh4VkrQ",0,"Netral"
"5","@ChalsofRivia @OposisiCerdas Nah ini udah dongok, rasis sekarang fitnah lagi. Aduh parah lu bong. Gimana bisa orang yg di foto itu lu bilang sangat benci Indonesia Dan pemerintahan jokowi? Hanya karena berseberangan dgn pemerintah. Dalam negara demokrasi boleh berbeda. Wah emang cebong burik gak ada otak.",0,"Netral"
"6","Alasan pak @Prabowo bergabung ke dalam pemerintahan pak @jokowi, adalah demi persatuan nasional. 

Pemimpin itu punya tanggung jawab besar untuk menjaga agar tidak terjadi perpecahan sesama anak bangsa.

Video Lengkap : https://t.co/cfUd1YKI2n

#Prabowo
#AndreRosiade
#Gerindra https://t.co/GfOrC3jUhJ",-1,"Negatif"
"7","@pengarang_sajak Dia tadinya menyangka JOKOWi bisa diatur dan dijadikan BONEKA karena dia anggap pengalaman JOKOWI di Pemerintahan masih renda, karena pemikiran itulah dia maju sebagai Wakil Presiden. Ternyata saat sudah menjalaka pemerintahan, dia yang diatur sama JOKOWI...🤪😜😃",0,"Netral"
"8","@culifath Kisah naruto bersambung, berarti pemerintahan jokowi? 😮😲",0,"Netral"
"9","Pemerintahan Presiden Joko Widodo selalu memikirkan langkah yang terbaik untuk setiap permasalahan #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/1zd8vkK88T",0,"Netral"
"10","@RudiGun07 @OposisiCerdas Gak usah bawa2 orang yg mencintai negara ini.. Lu tau siapa para imigran yaman yg sangat benci dengan Indonesia &amp; pemerintahan Jokowi.. Dasar kadal buduk lu.. https://t.co/OhCMVio7vb",0,"Netral"
"11","@hendrawini5 @maryshelparaiso Keren memang Presiden Jokowi, masyarakat mendukung kinerja Pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #NKRIMajuBersamaJokowi https://t.co/X7ecIyvl1e",0,"Netral"
"12","@GetaranNusa @hendrawini5 @maryshelparaiso Keren memang Presiden Jokowi, masyarakat mendukung kinerja Pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #NKRIMajuBersamaJokowi https://t.co/X7ecIyvl1e",0,"Netral"
"13","@Zoe_namakoe intinya para opisisi"" seperti kader PKS ini,di jaman pemerintahan pak jokowi ndak bisa berkutik,rencana"" politik mereka ndak bisa berjalan dengan mulus.mangkanya benci banget ama jokowi.✊🏻🇲🇨",0,"Netral"
"14","@jokowi Tapi pemerintahan jokowi blm berhenti ekspor kebohongan. https://t.co/rCOUnx89hj",0,"Netral"
"15","@jeniyandika @maryshelparaiso Keren memang Presiden Jokowi, masyarakat mendukung kinerja Pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #NKRIMajuBersamaJokowi https://t.co/X7ecIyvl1e",0,"Netral"
"16","@JokoWah33372742 @Ndranomade @CEBONGINSAF3 @DsSupriyady @geloraco @jokowi Demokrasi versi mereka kan gitu, pendapat mereka harus yg paling benar. Mereka benci pemerintah dan yg gak membenci pemerintah akan di musuhi. Apa lagi kalau ada yg menilai pemerintahan sekarang ini yg terbaik. Pasti mereka ngamuk..",0,"Netral"
"17","Sukses Rekrut Anak Muda di Pemerintahan, Jokowi Dinilai Pandai Melihat Potensi https://t.co/zsEBqngAm9",0,"Netral"
"18","@RamliRizal Karena para mafia yg diberantas Pak Jokowi sudah antri utk menguasai Pemerintahan kembali, semoga sampean faham dgn situasi ini...",0,"Netral"
"19","@GetaranNusa @NadegeMarzan @maryshelparaiso Keren memang Presiden Jokowi, masyarakat mendukung kinerja Pemerintahan Jokowi #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #NKRIMajuBersamaJokowi https://t.co/X7ecIyvl1e",0,"Netral"
"20","Enak benar ya jd Pejabat di Pemerintahan Jokowi, biar produknya laku negara di suruh ngasih subsidi utk pembelian motor listrik. https://t.co/m4JAA6AlV9",0,"Netral"
"21","Nggak Ngaruh, Yang Berucap Relawan/Pendukung Yang Merupakan Bawahan Dalam Pemerintahan Yang Dikepalai Jokowi. https://t.co/GsYICZjKGA",0,"Netral"
"22","Komite palang merah internasional mengapresiasi pemerintahan indonesia mantap pak jokowi hebat
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/8c441J2gLi",2,"Positif"
"23","Dukung terus program dan kebijakan pemerintahan Presiden Jokowi dalam mempermudah layanan akses. 
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/TunhBKBeoF",0,"Netral"
